city,Latitude,Longitude,Country,ID
Tokyo,35.687,139.7495,Japan,1
Jakarta,-6.175,106.8275,Indonesia,2
Delhi,28.61,77.23,India,3
Guangzhou,23.13,113.26,China,4
Mumbai,19.0761,72.8775,India,5
Manila,14.5958,120.9772,Philippines,6
Shanghai,31.2286,121.4747,China,7
Sao Paulo,-23.5504,-46.6339,Brazil,8
Seoul,37.5667,126.9833,"Korea, South",9
Mexico City,19.4333,-99.1333,Mexico,10
Kolkata,22.5675,88.37,India,11
Cairo,30.0444,31.2358,Egypt,12
Karachi,24.86,67.01,Pakistan,13
Dhaka,23.7289,90.3944,Bangladesh,14
New York,40.6943,-73.9249,United States,15
Beijing,39.9067,116.3975,China,16
Bangkok,13.7525,100.4942,Thailand,17
Shenzhen,22.5415,114.0596,China,18
Moscow,55.7506,37.6175,Russia,19
Buenos Aires,-34.6036,-58.3814,Argentina,20
Lagos,6.455,3.3841,Nigeria,21
Bangalore,12.9789,77.5917,India,22
Ho Chi Minh City,10.7756,106.7019,Vietnam,23
Osaka,34.6939,135.5022,Japan,24
Chengdu,30.66,104.0633,China,25
Istanbul,41.0136,28.955,Turkey,26
Tehran,35.6889,51.3897,Iran,27
Kinshasa,-4.3219,15.3119,Congo (Kinshasa),28
Rio de Janeiro,-22.9111,-43.2056,Brazil,29
Chennai,13.0825,80.275,India,30
Xi'an,34.2611,108.9422,China,31
Lahore,31.5497,74.3436,Pakistan,32
Chongqing,29.5637,106.5504,China,33
Los Angeles,34.1141,-118.4068,United States,34
London,51.5072,-0.1275,United Kingdom,35
Paris,48.8567,2.3522,France,36
Linyi,35.1038,118.3564,China,37
Dongguan,23.021,113.752,China,38
Baoding,38.874,115.464,China,39
Hyderabad,17.3617,78.4747,India,40
Tianjin,39.1336,117.2054,China,41
Lima,-12.06,-77.0375,Peru,42
Wuhan,30.5934,114.3046,China,43
Nanyang,32.9902,112.5285,China,44
Hangzhou,30.267,120.153,China,45
Nagoya,35.1833,136.9,Japan,46
Luanda,-8.8383,13.2344,Angola,47
Foshan,23.0214,113.1216,China,48
Kuala Lumpur,3.1686,101.698,Malaysia,49
Zhoukou,33.6367,114.7014,China,50
Tongshan,34.261,117.1859,China,51
Hanoi,21,105.85,Vietnam,52
Chicago,41.8375,-87.6866,United States,53
Nanjing,32.0608,118.7789,China,54
Heze,35.2343,115.4796,China,55
Pune,18.5203,73.8567,India,56
Jining,35.4151,116.5871,China,57
Bogota,4.7111,-74.0722,Colombia,58
Ahmedabad,23.0225,72.5714,India,59
Shenyang,41.8025,123.4281,China,60
Dar es Salaam,-6.8161,39.2803,Tanzania,61
Khartoum,15.6031,32.5265,Sudan,62
Johannesburg,-26.2044,28.0456,South Africa,63
Fuyang,32.89,115.814,China,64
Hong Kong,22.3,114.2,Hong Kong,65
Ganzhou,25.831,114.933,China,66
Shangqiu,34.415,115.656,China,67
Cangzhou,38.3047,116.8387,China,68
Riyadh,24.65,46.71,Saudi Arabia,69
Santiago,-33.4372,-70.6506,Chile,70
Zhumadian,33.014,114.022,China,71
Zhanjiang,21.2701,110.3575,China,72
Rangoon,16.795,96.16,Burma,73
Yancheng,33.35,120.1569,China,74
Bijie,27.284,105.292,China,75
Xingtai,37.0717,114.5048,China,76
Hengyang,26.894,112.572,China,77
Shaoyang,27.2395,111.4679,China,78
Surabaya,-7.2458,112.7378,Indonesia,79
Surat,21.205,72.84,India,80
Quanzhou,24.8744,118.6757,China,81
Shangrao,28.4551,117.9431,China,82
Zunyi,27.722,107.031,China,83
Madrid,40.4169,-3.7033,Spain,84
Baghdad,33.3153,44.3661,Iraq,85
Maoming,21.6627,110.9255,China,86
Miami,25.784,-80.2101,United States,87
Xinyang,32.149,114.091,China,88
Houston,29.786,-95.3885,United States,89
Singapore,1.3,103.8,Singapore,90
Prayagraj,25.4358,81.8464,India,91
Huanggang,30.4537,114.8724,China,92
Dalian,38.9,121.6,China,93
Ankara,39.93,32.85,Turkey,94
Dallas,32.7935,-96.7667,United States,95
Qingdao,36.0669,120.3827,China,96
Yulin,22.654,110.181,China,97
Liaocheng,36.4559,115.9852,China,98
Douala,4.05,9.7,Cameroon,99
Qujing,25.491,103.796,China,100
Nangandao,35.3036,113.9268,China,101
Addis Ababa,9.03,38.74,Ethiopia,102
Philadelphia,40.0077,-75.1339,United States,103
Toronto,43.7417,-79.3733,Canada,104
Zhengzhou,34.764,113.684,China,105
Nanchong,30.8372,106.1106,China,106
Jinan,36.6702,117.0207,China,107
Giza,29.987,31.2118,Egypt,108
Saint Petersburg,59.9375,30.3086,Russia,109
Jieyang,23.551,116.3727,China,110
Dezhou,37.436,116.359,China,111
Nairobi,-1.2864,36.8172,Kenya,112
Guadalajara,20.6767,-103.3475,Mexico,113
Tai'an,36.202,117.087,China,114
Dazhou,31.2093,107.4678,China,115
Belo Horizonte,-19.9281,-43.9419,Brazil,116
Suzhou,33.648,116.964,China,117
Monterrey,25.6844,-100.3181,Mexico,118
Yongzhou,26.42,111.613,China,119
Changde,29.031,111.699,China,120
Xiangyang,32.01,112.122,China,121
Atlanta,33.7628,-84.422,United States,122
Pudong,31.2347,121.5064,China,123
Washington,38.9047,-77.0163,United States,124
Zhaotong,27.338,103.717,China,125
Zhangzhou,24.513,117.647,China,126
Yueyang,29.3647,113.1309,China,127
Melbourne,-37.8142,144.9631,Australia,128
Yichun,27.816,114.417,China,129
Abidjan,5.3364,-4.0267,Côte d’Ivoire,130
Guilin,25.275,110.296,China,131
Pingdingshan,33.7666,113.1926,China,132
Alexandria,31.1975,29.8925,Egypt,133
Bozhou,33.8463,115.7786,China,134
Sydney,-33.8667,151.2,Australia,135
Barcelona,41.3833,2.1833,Spain,136
Yuncheng,35.0267,111.007,China,137
Cape Town,-33.9253,18.4239,South Africa,138
Changsha,28.228,112.939,China,139
Suqian,33.963,118.275,China,140
Jeddah,21.5428,39.1728,Saudi Arabia,141
Weinan,34.5206,109.471,China,142
Berlin,52.52,13.405,Germany,143
Chenzhou,25.77,113.016,China,144
Jiangmen,22.5789,113.0815,China,145
Mianyang,31.468,104.679,China,146
Jiujiang,29.661,115.954,China,147
Huaihua,27.5698,110.0016,China,148
Huanglongsi,34.795,114.345,China,149
Taizhou,32.4567,119.9229,China,150
Belahi,26.4,86.25,India,151
Yibin,28.752,104.643,China,152
Ji'an,27.0912,114.9668,China,153
Yangzhou,32.3944,119.4128,China,154
Kunming,25.0464,102.7094,China,155
Changchun,43.897,125.326,China,156
Lu'an,31.736,116.52,China,157
Xinpu,34.5966,119.2214,China,158
Langfang,39.5383,116.6835,China,159
Boston,42.3188,-71.0852,United States,160
Urumqi,43.8225,87.6125,China,161
Suzhou,31.3,120.6194,China,162
Guigang,23.112,109.599,China,163
Shantou,23.354,116.682,China,164
Jiangguanchi,34.037,113.852,China,165
Kabul,34.5253,69.1783,Afghanistan,166
Xiaoganzhan,30.918,113.957,China,167
Bamako,12.6458,-7.9922,Mali,168
Kano,12,8.5167,Nigeria,169
Luzhou,28.871,105.442,China,170
Hefei,31.8206,117.2273,China,171
Hengshui,37.739,115.669,China,172
Fortaleza,-3.7275,-38.5275,Brazil,173
Anqing,30.5318,117.1153,China,174
Zhangjiakou,40.769,114.886,China,175
Zhaoqing,23.05,112.4667,China,176
Shijiazhuang,38.0425,114.51,China,177
Ningbo,29.8603,121.6245,China,178
Qiqihar,47.3549,123.9182,China,179
Phoenix,33.5722,-112.0892,United States,180
Liuzhou,24.3278,109.4278,China,181
Chifeng,42.255,118.8825,China,182
Xiaoxita,30.692,111.287,China,183
Amman,31.9497,35.9328,Jordan,184
Linfen,36.088,111.519,China,185
Xianyang,34.3299,108.7088,China,186
Chuzhou,32.256,118.333,China,187
Kumasi,6.7,-1.625,Ghana,188
Zhuzhou,27.829,113.133,China,189
Taiyuan,37.8704,112.5497,China,190
Qingyuan,23.682,113.056,China,191
Meizhou,24.289,116.122,China,192
Yiyang,28.5549,112.356,China,193
Nanning,22.8167,108.3275,China,194
Harbin,45.7576,126.6409,China,195
Loudi,27.6998,111.9944,China,196
Abuja,9.0667,7.4833,Nigeria,197
Yokohama,35.4442,139.6381,Japan,198
Suihua,46.654,126.969,China,199
Binzhou,37.383,117.971,China,200
Zaozhuang,34.8109,117.3238,China,201
Detroit,42.3834,-83.1024,United States,202
Xiamen,24.4796,118.0889,China,203
Mashhad,36.3264,59.5433,Iran,204
Montreal,45.5089,-73.5617,Canada,205
Fuzhou,26.0743,119.2964,China,206
Wuhu,31.3526,118.4331,China,207
Medan,3.5894,98.6739,Indonesia,208
Yulinshi,38.2858,109.7341,China,209
Fuzhou,27.949,116.358,China,210
Wenzhou,27.9938,120.6993,China,211
Changzhou,31.811,119.974,China,212
Puyang,35.7627,115.0292,China,213
Nanchang,28.683,115.858,China,214
Baicheng,23.903,106.619,China,215
Seattle,47.6211,-122.3244,United States,216
Ibadan,7.3964,3.9167,Nigeria,217
Jiaozuo,35.2157,113.2419,China,218
Nadampalaiyam,11.0125,76.9714,India,219
Deyang,31.127,104.398,China,220
Busan,35.18,129.075,"Korea, South",221
Hechi,24.693,108.085,China,222
Tangshan,39.6294,118.1739,China,223
Lucknow,26.85,80.95,India,224
San Francisco,37.7558,-122.4449,United States,225
Boankra,6.6919,-1.4051,Ghana,226
Dubai,25.2631,55.2972,United Arab Emirates,227
Anshan,41.108,122.994,China,228
Guozhen,34.3609,107.1751,China,229
Baojishi,34.363,107.238,China,230
Qinzhou,21.981,108.654,China,231
Guiyang,26.647,106.63,China,232
Wuxi,31.5667,120.2833,China,233
Kannankulam,10.52,76.21,India,234
Caracas,10.4806,-66.9036,Venezuela,235
Kotla Qasim Khan,32.5833,73.75,Pakistan,236
Casablanca,33.5333,-7.5833,Morocco,237
Hanzhong,33.0664,107.0232,China,238
Shiyan,32.629,110.7987,China,239
Guang'an,30.4564,106.6326,China,240
Faisalabad,31.4167,73.0911,Pakistan,241
Changzhi,36.195,113.117,China,242
Tongren,27.7316,109.1895,China,243
Bengbu,32.917,117.389,China,244
Leshan,29.552,103.766,China,245
Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,246
Neijiang,29.5802,105.058,China,247
Zhenjiang,32.188,119.424,China,248
Qinhuangdao,39.8882,119.5202,China,249
Bursa,40.1833,29.05,Turkey,250
Tashkent,41.3111,69.2797,Uzbekistan,251
Guayaquil,-2.19,-79.8875,Ecuador,252
Jaipur,26.9,75.8,India,253
Lanzhou,36.0606,103.8268,China,254
Ouagadougou,12.3686,-1.5275,Burkina Faso,255
Athens,37.9842,23.7281,Greece,256
San Diego,32.8313,-117.1222,United States,257
Guatemala City,14.6417,-90.5133,Guatemala,258
Kuwait City,29.3697,47.9783,Kuwait,259
Qincheng,34.5815,105.7248,China,260
Izmir,38.42,27.14,Turkey,261
Quezon City,14.65,121.0475,Philippines,262
Kyiv,50.45,30.5233,Ukraine,263
Kottarassheri,10.775,76.651,India,264
Meishan,30.0771,103.8484,China,265
Incheon,37.4833,126.6333,"Korea, South",266
Ningde,26.6662,119.5477,China,267
