Order ID,Product ID,Sum of Quantity,Sum of Discount
AE-2011-9160,OFF-FEL-10001405,2,0.699999988079071
AE-2011-9160,TEC-EPS-10004171,6,0.699999988079071
AE-2013-1130,FUR-BUS-10003055,6,0.699999988079071
AE-2013-1130,OFF-ACC-10004278,1,0.699999988079071
AE-2013-1530,OFF-STI-10000114,2,0.699999988079071
AE-2013-1530,OFF-TEN-10002817,1,0.699999988079071
AE-2014-2840,OFF-ROG-10001340,1,0.699999988079071
AE-2014-3830,OFF-AVE-10000357,1,0.699999988079071
AE-2014-3830,OFF-AVE-10004827,1,0.699999988079071
AE-2014-3830,OFF-BIC-10002270,8,0.699999988079071
AE-2014-3830,OFF-ELD-10002297,1,0.699999988079071
AE-2014-3830,OFF-ROG-10003993,1,0.699999988079071
AE-2014-3830,TEC-MOT-10001535,4,0.699999988079071
AE-2014-4120,OFF-HON-10004621,2,0.699999988079071
AG-2011-1070,OFF-HOO-10001783,1,0
AG-2011-1390,OFF-IBI-10000440,2,0
AG-2011-1390,OFF-SAN-10001237,12,0
AG-2011-1440,OFF-AVE-10004909,2,0
AG-2011-2040,OFF-TEN-10000025,2,0
AG-2011-3090,TEC-CIS-10000436,2,0
AG-2011-3130,OFF-JIF-10004450,1,0
AG-2011-380,FUR-ELD-10003131,1,0
AG-2011-4410,OFF-EAT-10003338,1,0
AG-2011-4450,OFF-NOV-10001568,1,0
AG-2011-450,OFF-STO-10003604,1,0
AG-2011-4560,FUR-DEF-10000572,2,0
AG-2011-4560,OFF-CUI-10000105,4,0
AG-2011-4560,TEC-BRO-10003380,1,0
AG-2011-500,OFF-WIL-10002153,2,0
AG-2011-60,OFF-STO-10000007,1,0
AG-2011-7230,OFF-STA-10000244,2,0
AG-2011-7710,FUR-SAU-10002255,2,0
AG-2011-8180,OFF-ADV-10004598,4,0
AG-2011-8180,OFF-ELD-10000845,2,0
AG-2011-8180,OFF-NOV-10003180,1,0
AG-2011-8180,OFF-SAN-10001681,10,0
AG-2011-8180,TEC-EPS-10004558,2,0
AG-2011-8390,OFF-ADV-10000308,4,0
AG-2011-8930,FUR-HON-10002599,2,0
AG-2011-9060,FUR-SAF-10000949,1,0
AG-2011-9610,FUR-HAR-10002178,2,0
AG-2011-9670,TEC-PAN-10002365,6,0
AG-2011-9890,OFF-SAN-10002441,4,0
AG-2011-9890,OFF-STO-10004503,1,0
AG-2011-9890,OFF-TEN-10001480,8,0
AG-2012-170,OFF-JIF-10000704,1,0
AG-2012-170,TEC-BRO-10003401,1,0
AG-2012-1940,OFF-CAR-10001577,4,0
AG-2012-1940,TEC-STA-10003925,1,0
AG-2012-2200,FUR-DAN-10004510,4,0
AG-2012-2220,FUR-HAR-10003548,1,0
AG-2012-2430,FUR-TEN-10000325,1,0
AG-2012-2430,OFF-SAN-10001546,4,0
AG-2012-2430,OFF-SAN-10004618,1,0
AG-2012-3190,OFF-HOO-10001448,4,0
AG-2012-3190,OFF-STO-10001839,1,0
AG-2012-4060,FUR-BAR-10000831,1,0
AG-2012-4060,OFF-AVE-10000909,6,0
AG-2012-4060,OFF-BIC-10001823,2,0
AG-2012-4060,OFF-STA-10000054,1,0
AG-2012-4060,OFF-TEN-10003948,1,0
AG-2012-4630,FUR-BUS-10001187,2,0
AG-2012-4630,OFF-ACC-10004538,8,0
AG-2012-4630,OFF-CAR-10004661,1,0
AG-2012-4630,OFF-CUI-10002413,1,0
AG-2012-4630,OFF-STA-10001791,1,0
AG-2012-4630,OFF-TEN-10001031,1,0
AG-2012-4630,OFF-XER-10000846,12,0
AG-2012-4630,OFF-XER-10004519,1,0
AG-2012-4630,TEC-CIS-10001877,4,0
AG-2012-4630,TEC-OKI-10003124,1,0
AG-2012-4750,OFF-STO-10004779,4,0
AG-2012-4750,TEC-EPS-10003568,2,0
AG-2012-4910,OFF-AVE-10004909,1,0
AG-2012-4910,OFF-TEN-10000894,2,0
AG-2012-4910,TEC-LOG-10001750,1,0
AG-2012-5400,OFF-GRE-10000328,2,0
AG-2012-5400,OFF-KIT-10002357,2,0
AG-2012-5400,OFF-SME-10004160,1,0
AG-2012-5400,OFF-STO-10003342,1,0
AG-2012-6020,OFF-SME-10002823,2,0
AG-2012-6020,TEC-HP -10004082,1,0
AG-2012-6390,OFF-SAN-10000335,1,0
AG-2012-7530,FUR-DEF-10000346,1,0
AG-2012-8490,FUR-SAU-10004221,4,0
AG-2012-8490,OFF-AVE-10001750,4,0
AG-2012-8490,OFF-STO-10004910,1,0
AG-2012-8490,OFF-WIL-10002153,1,0
AG-2012-8660,OFF-SME-10001149,1,0
AG-2013-2580,TEC-SAN-10004721,2,0
AG-2013-2690,OFF-BOS-10000363,2,0
AG-2013-2690,OFF-STO-10002708,2,0
AG-2013-2840,FUR-SAU-10000209,1,0
AG-2013-2970,OFF-KLE-10004581,1,0
AG-2013-3970,OFF-STI-10001743,1,0
AG-2013-4150,OFF-EAT-10001303,2,0
AG-2013-4150,OFF-ROG-10000566,1,0
AG-2013-4150,OFF-STA-10004885,1,0
AG-2013-4150,OFF-TEN-10001129,1,0
AG-2013-4150,TEC-BEL-10002106,4,0
AG-2013-5140,OFF-ELD-10003918,2,0
AG-2013-5140,TEC-MEM-10004014,1,0
AG-2013-5250,TEC-SAM-10000345,1,0
AG-2013-5570,OFF-ACC-10002343,2,0
AG-2013-5570,OFF-BOS-10002472,1,0
AG-2013-5820,OFF-SME-10004754,4,0
AG-2013-5820,OFF-STO-10002449,4,0
